MSOA21CD	MSOA21NM	Licence area	Licence area (alternative)
E02003291	Southend-on-Sea 013	EPN	UKPN (East)
E02003295	Southend-on-Sea 017	EPN	UKPN (East)
E02003737	East Cambridgeshire 006	EPN	UKPN (East)
E02003763	Huntingdonshire 011	EPN	UKPN (East)
E02003780	South Cambridgeshire 006	EPN	UKPN (East)
E02004400	Rother 009	SPN	UKPN (South)
E02004462	Braintree 017	EPN	UKPN (East)
E02004464	Brentwood 001	EPN	UKPN (East)
E02004513	Colchester 008	EPN	UKPN (East)
E02004541	Epping Forest 015	LPN	UKPN (London)
E02004561	Maldon 007	EPN	UKPN (East)
E02004575	Tendring 003	EPN	UKPN (East)
E02004592	Uttlesford 002	EPN	UKPN (East)
E02004595	Uttlesford 005	EPN	UKPN (East)
E02004873	Dacorum 018	EPN	UKPN (East)
E02004912	North Hertfordshire 004	EPN	UKPN (East)
E02005080	Maidstone 013	SPN	UKPN (South)
E02005121	Swale 007	SPN	UKPN (South)
E02005155	Tonbridge and Malling 007	SPN	UKPN (South)
E02005162	Tunbridge Wells 001	SPN	UKPN (South)
E02005525	Broadland 006	EPN	UKPN (East)
E02005585	Norwich 002	EPN	UKPN (East)
E02005587	Norwich 004	EPN	UKPN (East)
E02005588	Norwich 005	EPN	UKPN (East)
E02005589	Norwich 006	EPN	UKPN (East)
E02005594	Norwich 011	EPN	UKPN (East)
E02005597	South Norfolk 001	EPN	UKPN (East)
E02005602	South Norfolk 006	EPN	UKPN (East)
E02005605	South Norfolk 009	EPN	UKPN (East)
E02005611	South Norfolk 015	EPN	UKPN (East)
E02006236	Babergh 010	EPN	UKPN (East)
E02006251	Ipswich 007	EPN	UKPN (East)
E02006270	Mid Suffolk 010	EPN	UKPN (East)
E02006346	Guildford 003	SPN	UKPN (South)
E02006399	Runnymede 007	SPN	UKPN (South)
E02006402	Runnymede 010	SPN	UKPN (South)
E02006451	Waverley 013	SPN	UKPN (South)
E02006460	Woking 005	SPN	UKPN (South)
E02006537	Adur 004	SPN	UKPN (South)
E02006604	Mid Sussex 001	SPN	UKPN (South)
E02006800	Redbridge 034	LPN	UKPN (London)
E02006856	Canterbury 020	SPN	UKPN (South)
E02000001	City of London 001	LPN	UKPN (London)
E02000003	Barking and Dagenham 002	EPN	UKPN (East)
E02000009	Barking and Dagenham 008	LPN	UKPN (London)
E02000014	Barking and Dagenham 013	EPN	UKPN (East)
E02000024	Barnet 001	EPN	UKPN (East)
E02000027	Barnet 004	EPN	UKPN (East)
E02000030	Barnet 007	EPN	UKPN (East)
E02000036	Barnet 013	EPN	UKPN (East)
E02000037	Barnet 014	EPN	UKPN (East)
E02000038	Barnet 015	EPN	UKPN (East)
E02000042	Barnet 019	EPN	UKPN (East)
E02000045	Barnet 022	EPN	UKPN (East)
E02000047	Barnet 024	EPN	UKPN (East)
E02000050	Barnet 027	EPN	UKPN (East)
E02000052	Barnet 029	EPN	UKPN (East)
E02000055	Barnet 032	EPN	UKPN (East)
E02000056	Barnet 033	EPN	UKPN (East)
E02000058	Barnet 035	EPN	UKPN (East)
E02000059	Barnet 036	EPN	UKPN (East)
E02000060	Barnet 037	EPN	UKPN (East)
E02000066	Bexley 002	LPN	UKPN (London)
E02000080	Bexley 016	LPN	UKPN (London)
E02000082	Bexley 018	LPN	UKPN (London)
E02000083	Bexley 019	LPN	UKPN (London)
E02000091	Bexley 027	LPN	UKPN (London)
E02000093	Brent 001	EPN	UKPN (East)
E02000106	Brent 014	LPN	UKPN (London)
E02000107	Brent 015	LPN	UKPN (London)
E02000109	Brent 017	EPN	UKPN (East)
E02000113	Brent 021	LPN	UKPN (London)
E02000117	Brent 025	LPN	UKPN (London)
E02000125	Brent 033	LPN	UKPN (London)
E02000127	Bromley 001	LPN	UKPN (London)
E02000133	Bromley 007	LPN	UKPN (London)
E02000135	Bromley 009	LPN	UKPN (London)
E02000172	Camden 007	LPN	UKPN (London)
E02000202	Croydon 009	SPN	UKPN (South)
E02000204	Croydon 011	SPN	UKPN (South)
E02000206	Croydon 013	SPN	UKPN (South)
E02000215	Croydon 022	SPN	UKPN (South)
E02000230	Croydon 037	SPN	UKPN (South)
E02000279	Enfield 003	EPN	UKPN (East)
E02000288	Enfield 012	EPN	UKPN (East)
E02000292	Enfield 016	EPN	UKPN (East)
E02000297	Enfield 021	EPN	UKPN (East)
E02000301	Enfield 025	EPN	UKPN (East)
E02000307	Enfield 031	EPN	UKPN (East)
E02000309	Enfield 033	EPN	UKPN (East)
E02000311	Enfield 035	EPN	UKPN (East)
E02000312	Enfield 036	EPN	UKPN (East)
E02000319	Greenwich 007	LPN	UKPN (London)
E02000323	Greenwich 011	LPN	UKPN (London)
E02000351	Hackney 007	LPN	UKPN (London)
E02000354	Hackney 010	LPN	UKPN (London)
E02000358	Hackney 014	LPN	UKPN (London)
E02000360	Hackney 016	LPN	UKPN (London)
E02000363	Hackney 019	LPN	UKPN (London)
E02000367	Hackney 023	LPN	UKPN (London)
E02000368	Hackney 024	LPN	UKPN (London)
E02000369	Hackney 025	LPN	UKPN (London)
E02000383	Hammersmith and Fulham 012	LPN	UKPN (London)
E02000392	Hammersmith and Fulham 021	LPN	UKPN (London)
E02000467	Havering 004	EPN	UKPN (East)
E02000472	Havering 009	EPN	UKPN (East)
E02000473	Havering 010	EPN	UKPN (East)
E02000475	Havering 012	EPN	UKPN (East)
E02000477	Havering 014	EPN	UKPN (East)
E02000480	Havering 017	EPN	UKPN (East)
E02000495	Hillingdon 002	EPN	UKPN (East)
E02000554	Islington 001	LPN	UKPN (London)
E02000555	Islington 002	LPN	UKPN (London)
E02000556	Islington 003	LPN	UKPN (London)
E02000559	Islington 006	LPN	UKPN (London)
E02000567	Islington 014	LPN	UKPN (London)
E02000569	Islington 016	LPN	UKPN (London)
E02000601	Kingston upon Thames 004	SPN	UKPN (South)
E02000621	Lambeth 004	LPN	UKPN (London)
E02000628	Lambeth 011	LPN	UKPN (London)
E02000640	Lambeth 023	LPN	UKPN (London)
E02000649	Lambeth 032	LPN	UKPN (London)
E02000664	Lewisham 012	LPN	UKPN (London)
E02000750	Newham 037	LPN	UKPN (London)
E02000785	Richmond upon Thames 002	SPN	UKPN (South)
E02000796	Richmond upon Thames 013	SPN	UKPN (South)
E02000803	Richmond upon Thames 020	SPN	UKPN (South)
E02000805	Richmond upon Thames 022	SPN	UKPN (South)
E02000806	Richmond upon Thames 023	SPN	UKPN (South)
E02000812	Southwark 006	LPN	UKPN (London)
E02000820	Southwark 014	LPN	UKPN (London)
E02000827	Southwark 021	LPN	UKPN (London)
E02000847	Sutton 008	SPN	UKPN (South)
E02000867	Tower Hamlets 004	LPN	UKPN (London)
E02000894	Tower Hamlets 031	LPN	UKPN (London)
E02000901	Waltham Forest 007	LPN	UKPN (London)
E02000907	Waltham Forest 013	LPN	UKPN (London)
E02000910	Waltham Forest 016	LPN	UKPN (London)
E02000921	Waltham Forest 027	LPN	UKPN (London)
E02000922	Waltham Forest 028	LPN	UKPN (London)
E02000926	Wandsworth 004	LPN	UKPN (London)
E02000932	Wandsworth 010	LPN	UKPN (London)
E02000941	Wandsworth 019	LPN	UKPN (London)
E02000942	Wandsworth 020	LPN	UKPN (London)
E02000948	Wandsworth 026	LPN	UKPN (London)
E02000949	Wandsworth 027	LPN	UKPN (London)
E02000957	Wandsworth 035	LPN	UKPN (London)
E02000964	Westminster 005	LPN	UKPN (London)
E02000966	Westminster 007	LPN	UKPN (London)
E02000973	Westminster 014	LPN	UKPN (London)
E02000974	Westminster 015	LPN	UKPN (London)
E02000976	Westminster 017	LPN	UKPN (London)
E02000978	Westminster 019	LPN	UKPN (London)
E02000982	Westminster 023	LPN	UKPN (London)
E02000983	Westminster 024	LPN	UKPN (London)
E02003243	Peterborough 007	EPN	UKPN (East)
E02003249	Peterborough 013	EPN	UKPN (East)
E02003252	Peterborough 016	EPN	UKPN (East)
E02003255	Peterborough 019	EPN	UKPN (East)
E02003257	Peterborough 021	EPN	UKPN (East)
E02003258	Luton 001	EPN	UKPN (East)
E02003260	Luton 003	EPN	UKPN (East)
E02003262	Luton 005	EPN	UKPN (East)
E02003264	Luton 007	EPN	UKPN (East)
E02003265	Luton 008	EPN	UKPN (East)
E02003266	Luton 009	EPN	UKPN (East)
E02003267	Luton 010	EPN	UKPN (East)
E02003268	Luton 011	EPN	UKPN (East)
E02003269	Luton 012	EPN	UKPN (East)
E02003274	Luton 017	EPN	UKPN (East)
E02003275	Luton 018	EPN	UKPN (East)
E02003277	Luton 020	EPN	UKPN (East)
E02003278	Luton 021	EPN	UKPN (East)
E02003279	Southend-on-Sea 001	EPN	UKPN (East)
E02003280	Southend-on-Sea 002	EPN	UKPN (East)
E02003281	Southend-on-Sea 003	EPN	UKPN (East)
E02003282	Southend-on-Sea 004	EPN	UKPN (East)
E02003286	Southend-on-Sea 008	EPN	UKPN (East)
E02003287	Southend-on-Sea 009	EPN	UKPN (East)
E02003288	Southend-on-Sea 010	EPN	UKPN (East)
E02003289	Southend-on-Sea 011	EPN	UKPN (East)
E02003290	Southend-on-Sea 012	EPN	UKPN (East)
E02003292	Southend-on-Sea 014	EPN	UKPN (East)
E02003293	Southend-on-Sea 015	EPN	UKPN (East)
E02003294	Southend-on-Sea 016	EPN	UKPN (East)
E02003301	Thurrock 006	EPN	UKPN (East)
E02003302	Thurrock 007	EPN	UKPN (East)
E02003304	Thurrock 009	EPN	UKPN (East)
E02003307	Thurrock 012	EPN	UKPN (East)
E02003310	Thurrock 015	EPN	UKPN (East)
E02003331	Medway 018	SPN	UKPN (South)
E02003503	Brighton and Hove 013	SPN	UKPN (South)
E02003507	Brighton and Hove 017	SPN	UKPN (South)
E02003515	Brighton and Hove 025	SPN	UKPN (South)
E02003517	Brighton and Hove 027	SPN	UKPN (South)
E02003523	Brighton and Hove 033	SPN	UKPN (South)
E02003603	Central Bedfordshire 005	EPN	UKPN (East)
E02003608	Central Bedfordshire 010	EPN	UKPN (East)
E02003609	Central Bedfordshire 011	EPN	UKPN (East)
E02003612	Central Bedfordshire 014	EPN	UKPN (East)
E02003619	Bedford 004	EPN	UKPN (East)
E02003620	Bedford 005	EPN	UKPN (East)
E02003621	Bedford 006	EPN	UKPN (East)
E02003622	Bedford 007	EPN	UKPN (East)
E02003625	Bedford 010	EPN	UKPN (East)
E02003627	Bedford 012	EPN	UKPN (East)
E02003629	Bedford 014	EPN	UKPN (East)
E02003630	Bedford 015	EPN	UKPN (East)
E02003643	Central Bedfordshire 024	EPN	UKPN (East)
E02003646	Central Bedfordshire 028	EPN	UKPN (East)
E02003659	Aylesbury Vale 008	EPN	UKPN (East)
E02003660	Aylesbury Vale 009	EPN	UKPN (East)
E02003667	Aylesbury Vale 016	EPN	UKPN (East)
E02003668	Aylesbury Vale 017	EPN	UKPN (East)
E02003670	Aylesbury Vale 019	EPN	UKPN (East)
E02003672	Aylesbury Vale 021	EPN	UKPN (East)
E02003673	Aylesbury Vale 022	EPN	UKPN (East)
E02003677	Chiltern 002	EPN	UKPN (East)
E02003680	Chiltern 005	EPN	UKPN (East)
E02003681	Chiltern 006	EPN	UKPN (East)
E02003719	Cambridge 001	EPN	UKPN (East)
E02003720	Cambridge 002	EPN	UKPN (East)
E02003721	Cambridge 003	EPN	UKPN (East)
E02003724	Cambridge 006	EPN	UKPN (East)
E02003729	Cambridge 011	EPN	UKPN (East)
E02003734	East Cambridgeshire 003	EPN	UKPN (East)
E02003735	East Cambridgeshire 004	EPN	UKPN (East)
E02003736	East Cambridgeshire 005	EPN	UKPN (East)
E02003745	Fenland 004	EPN	UKPN (East)
E02003753	Huntingdonshire 001	EPN	UKPN (East)
E02003758	Huntingdonshire 006	EPN	UKPN (East)
E02003768	Huntingdonshire 016	EPN	UKPN (East)
E02003773	Huntingdonshire 021	EPN	UKPN (East)
E02003785	South Cambridgeshire 011	EPN	UKPN (East)
E02003790	South Cambridgeshire 016	EPN	UKPN (East)
E02003791	South Cambridgeshire 017	EPN	UKPN (East)
E02003792	South Cambridgeshire 018	EPN	UKPN (East)
E02004369	Hastings 002	SPN	UKPN (South)
E02004377	Hastings 010	SPN	UKPN (South)
E02004381	Lewes 003	SPN	UKPN (South)
E02004389	Lewes 011	SPN	UKPN (South)
E02004392	Rother 001	SPN	UKPN (South)
E02004398	Rother 007	SPN	UKPN (South)
E02004411	Wealden 009	SPN	UKPN (South)
E02004420	Wealden 018	SPN	UKPN (South)
E02004422	Wealden 020	SPN	UKPN (South)
E02004434	Basildon 011	EPN	UKPN (East)
E02004444	Basildon 021	EPN	UKPN (East)
E02004452	Braintree 007	EPN	UKPN (East)
E02004459	Braintree 014	EPN	UKPN (East)
E02004460	Braintree 015	EPN	UKPN (East)
E02004468	Brentwood 005	EPN	UKPN (East)
E02004470	Brentwood 007	EPN	UKPN (East)
E02004482	Castle Point 010	EPN	UKPN (East)
E02004488	Chelmsford 004	EPN	UKPN (East)
E02004492	Chelmsford 008	EPN	UKPN (East)
E02004493	Chelmsford 009	EPN	UKPN (East)
E02004494	Chelmsford 010	EPN	UKPN (East)
E02004495	Chelmsford 011	EPN	UKPN (East)
E02004498	Chelmsford 014	EPN	UKPN (East)
E02004504	Chelmsford 020	EPN	UKPN (East)
E02004507	Colchester 002	EPN	UKPN (East)
E02004516	Colchester 011	EPN	UKPN (East)
E02004521	Colchester 016	EPN	UKPN (East)
E02004523	Colchester 018	EPN	UKPN (East)
E02004537	Epping Forest 011	LPN	UKPN (London)
E02004538	Epping Forest 012	LPN	UKPN (London)
E02004559	Maldon 005	EPN	UKPN (East)
E02004570	Rochford 008	EPN	UKPN (East)
E02004576	Tendring 004	EPN	UKPN (East)
E02004598	Uttlesford 008	EPN	UKPN (East)
E02004875	Dacorum 020	EPN	UKPN (East)
E02004876	Dacorum 021	EPN	UKPN (East)
E02004880	East Hertfordshire 003	EPN	UKPN (East)
E02004884	East Hertfordshire 007	EPN	UKPN (East)
E02004885	East Hertfordshire 008	EPN	UKPN (East)
E02004889	East Hertfordshire 012	EPN	UKPN (East)
E02004895	East Hertfordshire 018	EPN	UKPN (East)
E02004907	Hertsmere 012	EPN	UKPN (East)
E02004908	Hertsmere 013	EPN	UKPN (East)
E02004910	North Hertfordshire 002	EPN	UKPN (East)
E02004920	North Hertfordshire 012	EPN	UKPN (East)
E02004922	North Hertfordshire 014	EPN	UKPN (East)
E02004923	North Hertfordshire 015	EPN	UKPN (East)
E02004941	St Albans 018	EPN	UKPN (East)
E02004945	Stevenage 002	EPN	UKPN (East)
E02004961	Three Rivers 006	EPN	UKPN (East)
E02004989	Welwyn Hatfield 010	EPN	UKPN (East)
E02004996	Ashford 001	SPN	UKPN (South)
E02004997	Ashford 002	SPN	UKPN (South)
E02005001	Ashford 006	SPN	UKPN (South)
E02005002	Ashford 007	SPN	UKPN (South)
E02005008	Ashford 013	SPN	UKPN (South)
E02005030	Dartford 003	LPN	UKPN (London)
E02005056	Gravesham 002	SPN	UKPN (South)
E02005059	Gravesham 005	SPN	UKPN (South)
E02005070	Maidstone 003	SPN	UKPN (South)
E02005071	Maidstone 004	SPN	UKPN (South)
E02005073	Maidstone 006	SPN	UKPN (South)
E02005075	Maidstone 008	SPN	UKPN (South)
E02005088	Sevenoaks 002	SPN	UKPN (South)
E02005096	Sevenoaks 010	SPN	UKPN (South)
E02005097	Sevenoaks 011	SPN	UKPN (South)
E02005098	Sevenoaks 012	SPN	UKPN (South)
E02005100	Sevenoaks 014	SPN	UKPN (South)
E02005106	Shepway 005	SPN	UKPN (South)
E02005118	Swale 004	SPN	UKPN (South)
E02005127	Swale 013	SPN	UKPN (South)
E02005128	Swale 014	SPN	UKPN (South)
E02005129	Swale 015	SPN	UKPN (South)
E02005149	Tonbridge and Malling 001	SPN	UKPN (South)
E02005154	Tonbridge and Malling 006	SPN	UKPN (South)
E02005160	Tonbridge and Malling 012	SPN	UKPN (South)
E02005507	Breckland 005	EPN	UKPN (East)
E02005512	Breckland 010	EPN	UKPN (East)
E02005518	Breckland 016	EPN	UKPN (East)
E02005521	Broadland 002	EPN	UKPN (East)
E02005533	Broadland 014	EPN	UKPN (East)
E02005538	Great Yarmouth 001	EPN	UKPN (East)
E02005540	Great Yarmouth 003	EPN	UKPN (East)
E02005553	King's Lynn and West Norfolk 003	EPN	UKPN (East)
E02005561	King's Lynn and West Norfolk 011	EPN	UKPN (East)
E02005564	King's Lynn and West Norfolk 014	EPN	UKPN (East)
E02005566	King's Lynn and West Norfolk 016	EPN	UKPN (East)
E02005567	King's Lynn and West Norfolk 017	EPN	UKPN (East)
E02005572	North Norfolk 003	EPN	UKPN (East)
E02005584	Norwich 001	EPN	UKPN (East)
E02005586	Norwich 003	EPN	UKPN (East)
E02005590	Norwich 007	EPN	UKPN (East)
E02005592	Norwich 009	EPN	UKPN (East)
E02005595	Norwich 012	EPN	UKPN (East)
E02005596	Norwich 013	EPN	UKPN (East)
E02005604	South Norfolk 008	EPN	UKPN (East)
E02005607	South Norfolk 011	EPN	UKPN (East)
E02005610	South Norfolk 014	EPN	UKPN (East)
E02006230	Babergh 004	EPN	UKPN (East)
E02006231	Babergh 005	EPN	UKPN (East)
E02006234	Babergh 008	EPN	UKPN (East)
E02006256	Ipswich 012	EPN	UKPN (East)
E02006258	Ipswich 014	EPN	UKPN (East)
E02006260	Ipswich 016	EPN	UKPN (East)
E02006262	Mid Suffolk 002	EPN	UKPN (East)
E02006277	St Edmundsbury 005	EPN	UKPN (East)
E02006278	St Edmundsbury 006	EPN	UKPN (East)
E02006279	St Edmundsbury 007	EPN	UKPN (East)
E02006281	St Edmundsbury 009	EPN	UKPN (East)
E02006286	St Edmundsbury 014	EPN	UKPN (East)
E02006293	Suffolk Coastal 007	EPN	UKPN (East)
E02006298	Suffolk Coastal 012	EPN	UKPN (East)
E02006305	Waveney 004	EPN	UKPN (East)
E02006313	Waveney 012	EPN	UKPN (East)
E02006328	Elmbridge 012	SPN	UKPN (South)
E02006330	Elmbridge 014	SPN	UKPN (South)
E02006333	Elmbridge 017	SPN	UKPN (South)
E02006341	Epsom and Ewell 007	SPN	UKPN (South)
E02006343	Epsom and Ewell 009	SPN	UKPN (South)
E02006344	Guildford 001	SPN	UKPN (South)
E02006348	Guildford 005	SPN	UKPN (South)
E02006356	Guildford 013	SPN	UKPN (South)
E02006376	Reigate and Banstead 002	SPN	UKPN (South)
E02006383	Reigate and Banstead 009	SPN	UKPN (South)
E02006384	Reigate and Banstead 010	SPN	UKPN (South)
E02006431	Tandridge 004	SPN	UKPN (South)
E02006433	Tandridge 006	SPN	UKPN (South)
E02006458	Woking 003	SPN	UKPN (South)
E02006459	Woking 004	SPN	UKPN (South)
E02006534	Adur 001	SPN	UKPN (South)
E02006548	Arun 007	SPN	UKPN (South)
E02006550	Arun 009	SPN	UKPN (South)
E02006578	Crawley 004	SPN	UKPN (South)
E02006583	Crawley 009	SPN	UKPN (South)
E02006593	Horsham 006	SPN	UKPN (South)
E02006596	Horsham 009	SPN	UKPN (South)
E02006600	Horsham 013	SPN	UKPN (South)
E02006611	Mid Sussex 008	SPN	UKPN (South)
E02006612	Mid Sussex 009	SPN	UKPN (South)
E02006614	Mid Sussex 011	SPN	UKPN (South)
E02006617	Mid Sussex 014	SPN	UKPN (South)
E02006620	Mid Sussex 017	SPN	UKPN (South)
E02006826	Forest Heath 008	EPN	UKPN (East)
E02006833	Tonbridge and Malling 014	SPN	UKPN (South)
E02006837	Epsom and Ewell 010	SPN	UKPN (South)
E02006878	Peterborough 023	EPN	UKPN (East)
E02000005	Barking and Dagenham 004	EPN	UKPN (East)
E02000007	Barking and Dagenham 006	EPN	UKPN (East)
E02000010	Barking and Dagenham 009	EPN	UKPN (East)
E02000012	Barking and Dagenham 011	LPN	UKPN (London)
E02000013	Barking and Dagenham 012	LPN	UKPN (London)
E02000017	Barking and Dagenham 016	LPN	UKPN (London)
E02000018	Barking and Dagenham 017	LPN	UKPN (London)
E02000020	Barking and Dagenham 019	LPN	UKPN (London)
E02000021	Barking and Dagenham 020	EPN	UKPN (East)
E02000022	Barking and Dagenham 021	LPN	UKPN (London)
E02000025	Barnet 002	EPN	UKPN (East)
E02000029	Barnet 006	EPN	UKPN (East)
E02000031	Barnet 008	EPN	UKPN (East)
E02000032	Barnet 009	EPN	UKPN (East)
E02000033	Barnet 010	EPN	UKPN (East)
E02000034	Barnet 011	EPN	UKPN (East)
E02000035	Barnet 012	EPN	UKPN (East)
E02000041	Barnet 018	EPN	UKPN (East)
E02000043	Barnet 020	EPN	UKPN (East)
E02000044	Barnet 021	EPN	UKPN (East)
E02000048	Barnet 025	EPN	UKPN (East)
E02000049	Barnet 026	EPN	UKPN (East)
E02000051	Barnet 028	EPN	UKPN (East)
E02000053	Barnet 030	EPN	UKPN (East)
E02000061	Barnet 038	EPN	UKPN (East)
E02000067	Bexley 003	LPN	UKPN (London)
E02000070	Bexley 006	LPN	UKPN (London)
E02000071	Bexley 007	LPN	UKPN (London)
E02000074	Bexley 010	LPN	UKPN (London)
E02000075	Bexley 011	LPN	UKPN (London)
E02000077	Bexley 013	LPN	UKPN (London)
E02000078	Bexley 014	LPN	UKPN (London)
E02000079	Bexley 015	LPN	UKPN (London)
E02000081	Bexley 017	LPN	UKPN (London)
E02000085	Bexley 021	LPN	UKPN (London)
E02000086	Bexley 022	LPN	UKPN (London)
E02000087	Bexley 023	LPN	UKPN (London)
E02000088	Bexley 024	LPN	UKPN (London)
E02000089	Bexley 025	LPN	UKPN (London)
E02000090	Bexley 026	LPN	UKPN (London)
E02000094	Brent 002	EPN	UKPN (East)
E02000095	Brent 003	EPN	UKPN (East)
E02000096	Brent 004	EPN	UKPN (East)
E02000097	Brent 005	EPN	UKPN (East)
E02000098	Brent 006	EPN	UKPN (East)
E02000099	Brent 007	EPN	UKPN (East)
E02000100	Brent 008	EPN	UKPN (East)
E02000101	Brent 009	EPN	UKPN (East)
E02000103	Brent 011	LPN	UKPN (London)
E02000105	Brent 013	EPN	UKPN (East)
E02000110	Brent 018	LPN	UKPN (London)
E02000111	Brent 019	EPN	UKPN (East)
E02000112	Brent 020	EPN	UKPN (East)
E02000114	Brent 022	LPN	UKPN (London)
E02000115	Brent 023	LPN	UKPN (London)
E02000118	Brent 026	EPN	UKPN (East)
E02000120	Brent 028	LPN	UKPN (London)
E02000121	Brent 029	EPN	UKPN (East)
E02000122	Brent 030	LPN	UKPN (London)
E02000124	Brent 032	LPN	UKPN (London)
E02000128	Bromley 002	LPN	UKPN (London)
E02000130	Bromley 004	LPN	UKPN (London)
E02000131	Bromley 005	LPN	UKPN (London)
E02000132	Bromley 006	LPN	UKPN (London)
E02000137	Bromley 011	LPN	UKPN (London)
E02000138	Bromley 012	LPN	UKPN (London)
E02000139	Bromley 013	LPN	UKPN (London)
E02000140	Bromley 014	SPN	UKPN (South)
E02000141	Bromley 015	LPN	UKPN (London)
E02000142	Bromley 016	LPN	UKPN (London)
E02000145	Bromley 019	SPN	UKPN (South)
E02000146	Bromley 020	LPN	UKPN (London)
E02000149	Bromley 023	SPN	UKPN (South)
E02000151	Bromley 025	SPN	UKPN (South)
E02000153	Bromley 027	SPN	UKPN (South)
E02000154	Bromley 028	SPN	UKPN (South)
E02000155	Bromley 029	SPN	UKPN (South)
E02000157	Bromley 031	SPN	UKPN (South)
E02000158	Bromley 032	SPN	UKPN (South)
E02000160	Bromley 034	SPN	UKPN (South)
E02000161	Bromley 035	SPN	UKPN (South)
E02000163	Bromley 037	SPN	UKPN (South)
E02000165	Bromley 039	SPN	UKPN (South)
E02000166	Camden 001	LPN	UKPN (London)
E02000167	Camden 002	LPN	UKPN (London)
E02000168	Camden 003	LPN	UKPN (London)
E02000169	Camden 004	LPN	UKPN (London)
E02000170	Camden 005	LPN	UKPN (London)
E02000171	Camden 006	LPN	UKPN (London)
E02000173	Camden 008	LPN	UKPN (London)
E02000174	Camden 009	LPN	UKPN (London)
E02000175	Camden 010	LPN	UKPN (London)
E02000177	Camden 012	LPN	UKPN (London)
E02000178	Camden 013	LPN	UKPN (London)
E02000180	Camden 015	LPN	UKPN (London)
E02000181	Camden 016	LPN	UKPN (London)
E02000183	Camden 018	LPN	UKPN (London)
E02000184	Camden 019	LPN	UKPN (London)
E02000185	Camden 020	LPN	UKPN (London)
E02000187	Camden 022	LPN	UKPN (London)
E02000188	Camden 023	LPN	UKPN (London)
E02000190	Camden 025	LPN	UKPN (London)
E02000194	Croydon 001	SPN	UKPN (South)
E02000195	Croydon 002	SPN	UKPN (South)
E02000197	Croydon 004	SPN	UKPN (South)
E02000198	Croydon 005	SPN	UKPN (South)
E02000199	Croydon 006	SPN	UKPN (South)
E02000200	Croydon 007	SPN	UKPN (South)
E02000201	Croydon 008	SPN	UKPN (South)
E02000203	Croydon 010	SPN	UKPN (South)
E02000207	Croydon 014	SPN	UKPN (South)
E02000208	Croydon 015	SPN	UKPN (South)
E02000209	Croydon 016	SPN	UKPN (South)
