LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000083,0,0,1,1,1,1,1,2,2,3,3,3,4,4,5,6,6,7,7,8,8,9,9,10,10,11,11,11,11,11,11,11
E01000084,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,7,7,7,7
E01000085,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,8,8
E01000086,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,7,7,7,7,7
E01000087,0,0,1,1,1,1,1,2,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10,11,11,11,11,11
E01000088,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,8,8
E01000089,0,0,0,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,5,6,6,7,7,7,8,8,8,9,9,9,9,9
E01000090,1,1,1,2,2,3,3,4,5,6,6,7,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,25,25,25,25
E01000091,0,1,1,1,1,2,2,2,3,3,4,4,5,6,6,7,8,8,9,10,10,11,12,12,13,13,14,14,14,14,14,14
E01000092,1,2,3,3,4,5,5,7,8,10,12,13,15,17,19,21,24,26,28,30,32,34,36,38,40,42,43,44,45,44,44,44
E01000093,0,1,1,1,1,1,2,2,3,3,4,4,5,5,6,7,7,8,9,9,10,11,11,12,12,13,13,14,14,14,14,14
E01000094,0,1,1,1,1,2,2,2,3,4,4,5,5,6,7,8,8,9,10,11,11,12,13,13,14,15,15,16,16,16,16,16
E01000095,1,1,2,2,3,3,4,5,6,7,8,9,10,12,13,14,16,17,19,20,21,23,24,25,27,28,29,29,30,30,30,30
E01000096,0,0,1,1,1,1,1,2,2,2,3,3,4,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10,10,10,10,10
E01000097,0,1,1,1,1,1,2,2,3,3,3,4,4,5,6,6,7,8,8,9,10,10,11,11,12,12,13,13,13,13,13,13
E01000098,0,1,1,1,2,2,2,3,4,4,5,6,6,7,8,9,10,11,12,13,14,15,15,16,17,18,18,19,19,19,19,19
E01000099,1,1,2,2,3,3,4,4,5,6,8,9,10,11,13,14,15,17,18,19,21,22,23,25,26,27,28,29,29,29,29,29
E01000100,1,1,1,2,2,2,3,3,4,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,21,21,21,21,21
E01000101,0,0,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,6,6,7,7,7,8,8,9,9,9,10,10,10,10,10
