LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000063,51,51,51,51,51,51,51,51,51,51,50,48,44,41,37,34,30,27,24,20,17,13,10,6,3,0,0,0,0,0,0,0
E01000064,61,61,61,61,61,60,60,60,60,60,60,57,53,48,44,40,36,32,28,24,20,16,11,7,3,0,0,0,0,0,0,0
E01000065,91,91,91,91,91,91,91,91,91,91,90,85,79,73,67,60,54,48,42,36,30,24,17,11,5,0,0,0,0,0,0,0
E01000066,72,72,72,72,72,72,72,72,72,72,71,68,63,58,53,48,43,38,33,28,24,19,14,9,4,0,0,0,0,0,0,0
E01000067,56,56,56,56,56,55,55,55,55,55,55,52,48,45,41,37,33,29,26,22,18,14,10,7,3,0,0,0,0,0,0,0
E01000068,54,54,54,54,54,54,54,54,54,54,53,51,47,43,40,36,32,29,25,21,18,14,10,6,3,0,0,0,0,0,0,0
E01000069,46,46,46,46,46,46,46,46,46,46,45,43,40,37,34,31,28,24,21,18,15,12,9,6,2,0,0,0,0,0,0,0
E01000070,56,56,56,56,56,56,56,56,56,56,55,52,49,45,41,37,33,30,26,22,18,14,11,7,3,0,0,0,0,0,0,0
E01000071,67,67,67,67,67,67,67,67,67,67,66,63,58,54,49,45,40,36,31,26,22,17,13,8,3,0,0,0,0,0,0,0
E01000072,100,100,100,100,100,100,99,99,99,99,98,93,87,80,73,66,59,53,46,39,32,26,19,12,5,0,0,0,0,0,0,0
E01000073,61,61,61,60,60,60,60,60,60,60,60,57,53,48,44,40,36,32,28,24,20,16,11,7,3,0,0,0,0,0,0,0
E01000074,54,54,54,54,54,54,54,54,54,54,53,51,47,43,40,36,32,29,25,21,18,14,10,6,3,0,0,0,0,0,0,0
E01000075,70,70,70,70,70,70,70,70,70,70,69,66,61,56,51,47,42,37,32,28,23,18,13,8,4,0,0,0,0,0,0,0
E01000076,68,68,68,68,68,68,68,68,67,67,67,63,59,54,50,45,40,36,31,27,22,17,13,8,3,0,0,0,0,0,0,0
E01000077,68,68,68,68,68,68,68,68,68,68,67,64,59,54,50,45,41,36,31,27,22,17,13,8,3,0,0,0,0,0,0,0
