GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Chessington SGT 2 & SGT 4B,0.0,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT 3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT1 & 2,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingsnorth SGT,2.5,2.74,2.74,2.473,2.432,2.405,2.351,2.228,2.065,1.861,1.726,1.712,1.481,1.236,1.128,1.114,1.101,1.101,1.019,0.897,0.897,0.897,0.883,0.883,0.883,0.883,0.883
Laleham SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Horsted SGT,0.0,0.0,5.417,5.144,5.059,5.002,4.889,4.635,4.296,3.872,3.589,3.561,3.08,2.572,2.346,2.317,2.289,2.289,2.119,1.865,1.865,1.865,1.837,1.837,1.837,1.837,1.837
Littlebrook SGT,2.0,2.056,2.057,1.978,1.946,1.924,1.88,1.783,1.652,1.489,1.38,1.37,1.185,0.989,0.902,0.891,0.88,0.88,0.815,0.717,0.717,0.717,0.707,0.707,0.707,0.707,0.707
Ninfield SGT,7.672,8.03,3.967,3.731,3.67,3.629,3.547,3.362,3.116,2.809,2.604,2.583,2.235,1.866,1.702,1.681,1.66,1.66,1.537,1.353,1.353,1.353,1.333,1.333,1.333,1.333,1.333
Northfleet SGT,12.4,13.389,14.236,14.352,14.116,13.958,13.643,12.933,11.987,10.804,10.015,9.936,8.596,7.176,6.546,6.467,6.387,6.387,5.914,5.205,5.205,5.205,5.126,5.126,5.126,5.126,5.126
Sellindge SGT2 & 3 & Richborough SGT,1.15,1.247,1.247,1.138,1.119,1.106,1.081,1.025,0.95,0.856,0.794,0.788,0.681,0.569,0.519,0.513,0.506,0.506,0.469,0.413,0.413,0.413,0.406,0.406,0.406,0.406,0.406
Sellindge SGT5A SGT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Weybridge SGT,1.46,1.492,1.493,1.444,1.42,1.404,1.373,1.301,1.206,1.087,1.008,1.0,0.865,0.722,0.659,0.651,0.643,0.643,0.595,0.524,0.524,0.524,0.516,0.516,0.516,0.516,0.516
