GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
New Cross 132kV to Wimbledon 1 and 2 132kV,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Cross 66kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redbridge Supergrid 33kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Johns Wood 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Ham 132kV,0.0,0.026,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willesden Grid 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willesden Grid 66 kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wimbledon Grid South 3/4,0.0,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beddington SGT,8.015,8.391,8.391,8.015,8.015,8.015,8.015,8.015,7.718,7.379,7.082,7.082,6.87,6.276,6.064,6.064,6.064,6.064,6.064,5.895,5.895,5.895,5.895,5.895,5.895,5.895,5.895
Bolney SGT,44.606,46.506,45.175,43.364,43.364,43.364,43.364,43.364,41.758,39.923,38.317,38.317,37.17,33.956,32.809,32.809,32.809,32.809,32.809,31.892,31.892,31.892,31.892,31.892,31.892,31.892,31.892
Canterbury SGT,7.0,7.403,7.403,7.0,7.0,7.0,7.0,7.0,6.741,6.445,6.185,6.185,6.0,5.481,5.296,5.296,5.296,5.296,5.296,5.148,5.148,5.148,5.148,5.148,5.148,5.148,5.148
Chessington SGT 1 & SGT 4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chessington SGT 2 & SGT 4B,0.0,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT 3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT1 & 2,0.0,0.007,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingsnorth SGT,2.5,2.73,2.73,2.5,2.5,2.5,2.5,2.5,2.407,2.302,2.209,2.209,2.143,1.958,1.892,1.892,1.892,1.892,1.892,1.839,1.839,1.839,1.839,1.839,1.839,1.839,1.839
Laleham SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Horsted SGT,0.0,0.0,5.408,5.2,5.2,5.2,5.2,5.2,5.007,4.787,4.595,4.595,4.457,4.072,3.934,3.934,3.934,3.934,3.934,3.824,3.824,3.824,3.824,3.824,3.824,3.824,3.824
Littlebrook SGT,2.0,2.054,2.056,2.0,2.0,2.0,2.0,2.0,1.926,1.841,1.767,1.767,1.714,1.566,1.513,1.513,1.513,1.513,1.513,1.471,1.471,1.471,1.471,1.471,1.471,1.471,1.471
Ninfield SGT,7.672,8.015,3.959,3.772,3.772,3.772,3.772,3.772,3.632,3.473,3.333,3.333,3.233,2.954,2.854,2.854,2.854,2.854,2.854,2.774,2.774,2.774,2.774,2.774,2.774,2.774,2.774
Northfleet SGT,12.4,14.785,17.165,18.73,18.73,18.73,18.73,18.73,18.036,17.244,16.55,16.55,16.055,14.667,14.171,14.171,14.171,14.171,14.171,13.775,13.775,13.775,13.775,13.775,13.775,13.775,13.775
Sellindge SGT2 & 3 & Richborough SGT,1.15,1.243,1.243,1.15,1.15,1.15,1.15,1.15,1.107,1.059,1.016,1.016,0.986,0.901,0.87,0.87,0.87,0.87,0.87,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.846
Sellindge SGT5A SGT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Weybridge SGT,1.46,1.491,1.492,1.46,1.46,1.46,1.46,1.46,1.406,1.344,1.29,1.29,1.251,1.143,1.105,1.105,1.105,1.105,1.105,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074
