GSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Lodge Road 66kV,0.008,0.004,0.01,0.017,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Cross 132kV,0.0,0.0,0.0,0.0,0.07,0.067,0.064,0.064,0.064,0.057,0.057,0.051,0.04,0.037,0.037,0.033,0.033,0.03,0.03,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
New Cross 132kV to Wimbledon 1 and 2 132kV,0.069,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Cross 66kV,0.006,0.024,0.042,0.059,0.08,0.086,0.082,0.082,0.082,0.073,0.073,0.065,0.052,0.047,0.047,0.043,0.043,0.039,0.039,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034
Redbridge Supergrid 33kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Johns Wood 132kV,1.28,1.316,1.353,1.389,1.425,1.44,1.37,1.37,1.37,1.219,1.219,1.084,0.863,0.787,0.787,0.712,0.712,0.642,0.642,0.572,0.572,0.572,0.572,0.572,0.572,0.572,0.572
West Ham 132kV,0.002,0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willesden Grid 132kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willesden Grid 66 kV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wimbledon Grid South 3/4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beddington SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.056,0.083,0.091,0.123,0.149,0.174,0.18,0.214,0.223,0.253,0.283,0.315,0.336,0.361,0.394,0.424,0.456,0.496,0.532,0.565
Bolney SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.341,0.628,0.912,0.966,1.309,1.592,1.879,1.93,2.27,2.381,2.724,3.009,3.346,3.572,3.858,4.199,4.54,4.88,5.275,5.673,6.016
Canterbury SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.117,0.174,0.183,0.25,0.303,0.36,0.371,0.433,0.455,0.523,0.576,0.639,0.684,0.737,0.804,0.868,0.933,1.009,1.082,1.152
Chessington SGT 1 & SGT 4A,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.019,0.025,0.028,0.036,0.044,0.051,0.053,0.062,0.065,0.074,0.083,0.092,0.099,0.106,0.116,0.123,0.132,0.142,0.154,0.163
Chessington SGT 2 & SGT 4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002
Kemsley SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656,0.665,0.645,0.631,0.697,0.693,0.76,0.79,0.855,0.876,0.928,0.994,1.059,1.125,1.199,1.275,1.339
Kemsley SGT 3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemsley SGT1 & 2,0.48,0.48,0.48,0.48,0.48,0.48,0.524,0.577,0.631,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kingsnorth SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.086,0.124,0.133,0.18,0.216,0.256,0.262,0.311,0.325,0.372,0.409,0.456,0.486,0.525,0.572,0.618,0.663,0.719,0.77,0.819
Laleham SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Little Horsted SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.093,0.133,0.142,0.191,0.232,0.275,0.284,0.336,0.353,0.402,0.445,0.494,0.529,0.569,0.62,0.668,0.719,0.778,0.837,0.888
Littlebrook SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.007,0.007,0.008,0.008
Ninfield SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.295,0.423,0.448,0.606,0.737,0.871,0.896,1.053,1.109,1.263,1.394,1.551,1.658,1.786,1.943,2.103,2.26,2.442,2.629,2.786
Northfleet SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.292,0.428,0.454,0.614,0.75,0.885,0.909,1.07,1.127,1.287,1.418,1.578,1.687,1.82,1.98,2.143,2.306,2.493,2.675,2.838
Sellindge SGT2 & 3 & Richborough SGT,14.8,14.8,14.8,14.8,14.8,14.8,14.212,14.319,14.422,12.889,13.022,11.745,9.577,8.821,8.95,8.216,8.344,7.731,7.856,7.226,7.329,7.459,7.587,7.715,7.863,8.014,8.145
Sellindge SGT5A SGT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Weybridge SGT,0.0,0.0,0.0,0.0,0.0,0.0,0.079,0.147,0.215,0.225,0.305,0.367,0.436,0.452,0.529,0.552,0.636,0.699,0.778,0.828,0.896,0.975,1.054,1.136,1.228,1.32,1.399
