LSOA11CD,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000163,1,1,2,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,54,58,62,66,70,73,76,79,82,84,86,88
E01000164,1,1,2,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,73,77,79,82,84,86,88
E01000165,1,1,2,2,3,5,7,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,73,76,79,82,84,86,88
E01000166,1,1,2,2,3,5,7,9,12,15,19,22,26,29,32,36,39,43,46,50,54,59,63,67,70,74,77,80,82,85,86,88
E01000167,1,1,2,2,3,4,7,9,12,15,18,22,25,29,32,35,39,42,46,50,53,58,62,66,70,73,76,79,82,84,86,88
E01000168,1,1,2,2,3,5,7,9,12,15,19,22,26,29,32,36,39,43,46,50,54,59,63,67,70,74,77,80,82,85,87,88
E01000169,1,1,2,2,3,5,7,9,12,15,19,22,25,29,32,36,39,42,46,50,54,59,63,67,70,74,77,80,82,84,87,88
E01000170,0,1,1,2,2,4,6,8,11,14,17,21,24,27,31,34,37,41,45,48,52,57,61,65,69,72,75,78,81,83,85,87
E01000171,0,1,1,2,2,4,6,8,11,14,17,20,24,27,31,34,37,41,45,48,52,57,61,65,69,72,75,78,81,83,85,87
E01000172,1,1,2,2,3,5,7,9,12,15,19,22,25,29,32,36,39,43,46,50,54,59,63,67,70,74,77,80,82,85,86,88
E01000173,0,1,1,2,2,3,6,8,11,14,17,20,24,27,31,34,37,41,45,48,52,57,61,65,69,72,75,78,81,83,85,87
E01000174,1,1,1,2,2,4,6,8,11,14,17,21,24,27,31,34,37,41,45,48,52,57,61,65,69,72,75,78,81,83,85,87
E01000175,1,1,1,1,2,4,6,8,11,14,17,20,24,27,31,34,37,41,45,48,52,57,61,65,69,72,75,78,81,83,85,87
E01000176,1,2,2,4,5,6,9,11,14,17,20,24,27,31,34,38,41,44,48,52,56,60,65,69,72,76,79,82,84,86,88,90
E01000177,1,1,2,2,4,5,7,10,12,15,19,22,26,29,33,36,39,43,46,50,54,59,63,67,71,74,77,80,82,85,87,88
E01000178,1,2,3,4,5,6,9,11,14,17,20,24,27,31,34,38,41,44,48,52,56,60,65,69,72,76,79,82,84,86,88,90
E01000179,1,1,2,2,3,5,7,10,12,15,19,22,26,29,32,36,40,43,46,50,54,59,63,67,70,74,77,80,82,85,87,88
E01000180,1,1,2,3,4,5,7,10,12,16,19,22,26,29,33,36,39,43,46,50,54,59,63,67,71,74,77,80,83,85,87,88
E01000181,1,1,2,2,4,5,7,10,12,15,19,22,26,29,33,36,39,43,46,50,54,59,63,67,71,74,77,80,82,85,87,88
E01000182,1,1,2,2,4,5,7,10,13,15,19,22,26,29,33,36,39,43,46,50,54,59,63,67,71,74,77,80,82,85,87,88
E01000183,5,7,10,12,16,21,26,31,34,38,41,44,48,51,55,58,61,65,69,72,76,81,85,89,93,96,99,100,100,100,100,100
E01000184,1,2,2,4,5,6,9,11,14,17,20,24,27,31,34,38,41,44,48,52,55,60,65,69,72,76,79,82,84,87,88,90
E01000185,1,2,2,3,3,5,7,10,12,16,19,22,26,29,33,36,39,43,46,50,54,59,63,67,70,74,77,80,83,85,87,89
E01000186,1,2,2,3,4,6,8,11,13,16,20,23,27,30,34,37,40,44,47,51,55,60,64,68,71,75,78,81,83,86,88,89
E01000187,1,2,2,3,4,6,8,11,13,16,20,23,27,30,33,37,40,44,47,51,55,60,64,68,71,75,78,81,83,86,88,89
E01000188,1,1,2,3,4,6,8,11,13,16,20,23,27,30,34,37,40,44,47,51,55,60,64,68,71,75,78,81,83,86,88,89
E01000189,0,2,2,2,6,5,7,11,14,16,20,23,28,30,33,36,42,44,48,52,54,60,65,68,71,74,77,80,85,85,88,89
E01000190,1,1,2,3,4,6,8,11,13,16,20,23,27,30,34,37,40,44,47,51,55,60,64,68,71,75,78,81,83,86,88,89
E01000191,1,1,2,3,4,6,8,11,13,16,20,23,27,30,34,37,40,44,47,51,55,60,64,68,71,75,78,81,83,86,88,89
