LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000051,2.869,2.932,2.97,3.11,3.404,3.735,4.119,4.521,4.976,5.427,5.867,6.308,6.672,7.151,7.619,8.062,8.5,8.951,9.398,9.834,10.272,10.713,11.163,11.604,12.05,12.502,12.95
E01000052,38.677,39.513,40.171,40.726,42.795,45.54,49.001,52.498,56.898,60.901,65.3,69.78,72.63,77.593,82.219,87.223,92.079,97.307,102.577,107.931,113.256,118.671,124.447,129.629,134.994,140.614,145.867
E01000053,13.745,14.192,15.528,22.427,31.352,40.028,49.081,57.262,66.654,78.12,90.748,102.998,112.721,121.139,128.714,137.05,144.999,154.896,164.87,175.922,186.334,197.0,208.643,218.263,228.494,238.628,247.426
E01000054,23.275,23.778,24.509,35.589,50.969,65.556,80.863,95.267,111.354,125.813,140.429,154.809,167.125,182.147,196.081,210.477,224.346,239.005,253.606,268.221,282.693,297.307,312.699,326.642,340.952,355.812,369.759
E01000055,13.623,13.917,14.294,19.06,25.799,32.267,39.11,45.57,52.835,59.365,66.004,72.552,78.057,84.924,91.293,97.902,104.273,111.017,117.741,124.483,131.16,137.906,145.022,151.457,158.068,164.94,171.383
E01000056,106.464,108.768,110.273,110.783,111.365,111.968,112.668,112.959,113.722,445.074,809.09,1185.154,1564.39,1572.386,1579.796,1587.393,1594.724,1602.465,1610.182,1617.908,1625.585,1633.354,1641.538,1649.02,1656.697,1664.667,1672.197
E01000057,3.73,3.81,4.186,14.266,27.654,39.987,52.659,64.474,77.436,167.371,179.198,190.755,201.12,213.023,224.052,235.324,246.176,257.599,268.953,280.281,291.499,302.813,314.696,325.508,336.581,348.052,358.844
E01000058,41.437,42.784,46.187,61.775,82.188,102.289,123.422,142.551,164.68,182.231,202.356,221.312,233.613,252.913,270.267,289.616,308.074,331.279,354.702,380.787,405.309,430.452,457.969,480.563,504.653,528.514,549.129
E01000059,4.23,4.367,5.754,15.816,28.43,40.312,52.468,63.389,75.688,85.546,96.5,106.772,113.87,124.204,133.502,143.691,153.393,165.43,177.538,190.922,203.514,216.395,230.438,242.023,254.337,266.523,277.087
E01000060,12.654,13.065,14.844,25.735,39.599,52.858,66.553,78.9,92.931,104.157,116.751,128.583,136.612,148.572,159.339,171.193,182.492,196.557,210.722,226.409,241.169,256.279,272.768,286.363,300.824,315.141,327.55
