LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000085,22.352,27.765,37.769,58.104,86.427,108.291,130.154,152.018,173.827,195.691,217.554,239.418,261.336,283.2,305.064,326.927,348.791,370.655,392.573,414.437,436.3,458.164,480.082,501.946,523.81,545.728,567.592
E01000086,13.83,14.067,14.863,17.883,21.777,24.71,27.643,30.576,33.501,36.434,39.367,42.3,45.24,48.173,51.106,54.039,56.972,59.905,62.845,65.778,68.711,71.644,74.584,77.517,80.45,83.39,86.323
E01000087,39.693,40.701,42.782,47.884,54.797,60.745,66.692,72.639,78.572,84.519,90.466,96.414,102.376,108.323,114.27,120.218,126.165,132.112,138.075,144.022,149.969,155.917,161.879,167.826,173.773,179.736,185.683
E01000088,3.437,3.533,4.501,9.541,15.874,20.176,24.478,28.78,33.071,37.373,41.675,45.978,50.29,54.592,58.894,63.197,67.499,71.801,76.113,80.415,84.718,89.02,93.332,97.634,101.936,106.249,110.551
E01000089,43.933,47.15,52.44,60.891,73.219,83.986,94.753,105.52,116.259,127.026,137.793,148.559,159.353,170.12,180.886,191.653,202.42,213.186,223.98,234.747,245.514,256.28,267.074,277.84,288.607,299.401,310.168
E01000090,26.233,28.513,35.981,64.487,101.324,126.829,152.334,177.838,203.28,228.785,254.29,279.795,305.363,330.868,356.373,381.878,407.383,432.888,458.457,483.962,509.467,534.972,560.54,586.045,611.55,637.119,662.624
E01000091,48.512,66.894,85.062,99.452,133.247,162.402,191.557,220.712,249.794,278.949,308.104,337.259,366.487,395.642,424.798,453.953,483.108,512.263,541.491,570.646,599.801,628.956,658.184,687.339,716.494,745.722,774.877
E01000093,39.055,56.118,72.171,83.296,98.366,118.873,139.379,159.886,180.341,200.848,221.354,241.861,262.419,282.926,303.432,323.939,344.445,364.952,385.51,406.016,426.523,447.03,467.588,488.094,508.601,529.159,549.665
E01000094,11.729,14.514,19.273,57.362,110.643,143.94,177.238,210.536,243.75,277.047,310.345,343.642,377.023,410.321,443.618,476.916,510.213,543.511,576.892,610.189,643.487,676.784,710.165,743.463,776.76,810.141,843.438
E01000095,11.718,12.922,15.046,32.006,55.669,72.266,88.864,105.462,122.018,138.616,155.214,171.811,188.451,205.048,221.646,238.244,254.842,271.439,288.078,304.676,321.274,337.872,354.511,371.109,387.706,404.346,420.943
E01000096,18.202,19.405,21.268,34.475,53.222,65.326,77.431,89.535,101.609,113.713,125.817,137.922,150.056,162.16,174.265,186.369,198.473,210.577,222.712,234.816,246.92,259.025,271.159,283.263,295.368,307.502,319.606
E01000097,23.367,24.944,29.732,47.151,69.762,85.722,101.683,117.643,133.564,149.524,165.484,181.445,197.445,213.406,229.366,245.327,261.287,277.248,293.248,309.208,325.169,341.129,357.13,373.09,389.05,405.051,421.011
E01000098,9.622,12.204,20.457,51.042,90.603,117.873,145.142,172.411,199.612,226.882,254.151,281.42,308.758,336.027,363.296,390.565,417.835,445.104,472.441,499.711,526.98,554.249,581.587,608.856,636.125,663.463,690.732
E01000099,16.801,20.006,36.659,112.833,209.568,274.252,338.937,403.621,468.144,532.828,597.513,662.197,727.043,791.728,856.412,921.096,985.781,1050.465,1115.311,1179.996,1244.68,1309.365,1374.211,1438.895,1503.579,1568.426,1633.11
E01000100,30.949,31.201,31.987,34.855,38.57,41.768,44.966,48.164,51.354,54.552,57.75,60.948,64.154,67.352,70.55,73.748,76.946,80.143,83.349,86.547,89.745,92.943,96.149,99.347,102.545,105.751,108.949
E01000101,56.957,61.962,68.027,75.192,84.302,94.762,105.222,115.683,126.117,136.577,147.037,157.497,167.984,178.444,188.904,199.364,209.824,220.285,230.771,241.231,251.692,262.152,272.638,283.098,293.558,304.045,314.505
E01000102,20.364,21.673,28.088,57.128,94.08,119.169,144.259,169.348,194.375,219.464,244.553,269.643,294.795,319.884,344.974,370.063,395.152,420.242,445.394,470.483,495.572,520.662,545.814,570.903,595.992,621.145,646.234
E01000103,25.99,29.281,37.505,63.329,97.393,121.918,146.444,170.97,195.434,219.96,244.485,269.011,293.598,318.123,342.649,367.175,391.7,416.226,440.813,465.338,489.864,514.39,538.976,563.502,588.028,612.615,637.14
E01000104,75.495,91.121,106.837,120.851,138.677,161.292,183.908,206.523,229.082,251.698,274.313,296.929,319.601,342.216,364.832,387.447,410.063,432.678,455.35,477.966,500.581,523.197,545.869,568.484,591.1,613.772,636.387
E01000105,16.875,19.048,28.918,72.332,127.674,164.992,202.31,239.627,276.852,314.17,351.488,388.806,426.217,463.535,500.853,538.17,575.488,612.806,650.218,687.535,724.853,762.171,799.582,836.9,874.218,911.629,948.947
