LSOA21CD,Scenario_world,Scenario,Parameter,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000056,Electric Engagement,ZEV Mandate,PHEV cars,Number,18,24,31,35,38,43,48,56,63,70,76,82,77,73,69,64,59,54,48,43,37,31,26,20,16,11,9,6
E01000057,Electric Engagement,ZEV Mandate,PHEV cars,Number,13,19,26,30,33,36,39,44,49,52,56,59,57,53,49,45,40,36,32,28,24,20,16,13,10,8,6,5
E01000058,Electric Engagement,ZEV Mandate,PHEV cars,Number,19,26,31,35,38,43,48,57,64,72,78,83,80,75,70,66,61,55,50,44,38,32,26,21,16,12,9,7
E01000059,Electric Engagement,ZEV Mandate,PHEV cars,Number,13,18,25,30,34,37,42,48,55,60,67,71,67,64,59,55,51,46,40,35,30,26,21,16,12,9,8,5
E01000060,Electric Engagement,ZEV Mandate,PHEV cars,Number,20,27,34,38,43,47,53,62,71,78,85,92,88,82,77,72,66,61,55,48,42,35,28,23,17,14,10,8
E01000061,Electric Engagement,ZEV Mandate,PHEV cars,Number,17,22,24,25,28,32,37,44,52,59,64,69,66,62,59,54,50,46,42,36,32,27,23,18,14,11,8,6
E01000062,Electric Engagement,ZEV Mandate,PHEV cars,Number,21,29,37,43,48,53,58,68,77,84,93,99,93,89,83,77,71,64,57,50,44,36,30,24,18,14,11,8
E01000063,Electric Engagement,ZEV Mandate,PHEV cars,Number,17,25,32,36,40,44,49,57,64,71,77,82,78,74,69,64,59,54,48,42,37,31,25,20,15,11,9,6
E01000064,Electric Engagement,ZEV Mandate,PHEV cars,Number,21,29,37,40,45,51,57,66,75,84,91,97,93,87,82,76,70,64,58,51,44,37,31,24,18,14,11,8
E01000065,Electric Engagement,ZEV Mandate,PHEV cars,Number,22,30,37,41,45,51,56,64,73,81,88,94,90,84,79,74,67,62,55,49,42,36,29,24,18,13,10,8
E01000066,Electric Engagement,ZEV Mandate,PHEV cars,Number,24,33,40,44,48,54,59,69,77,85,92,99,94,88,83,77,71,64,58,51,44,37,31,24,18,14,11,8
E01000067,Electric Engagement,ZEV Mandate,PHEV cars,Number,27,37,43,47,52,57,64,74,84,93,102,109,103,98,91,84,78,71,64,57,49,41,34,27,21,16,12,9
E01000068,Electric Engagement,ZEV Mandate,PHEV cars,Number,18,24,31,34,38,41,46,53,61,67,73,79,74,70,65,61,56,51,46,40,35,29,24,19,14,11,8,7
E01000069,Electric Engagement,ZEV Mandate,PHEV cars,Number,25,34,41,45,49,54,61,70,80,88,95,102,97,92,85,80,74,67,61,53,46,39,32,25,19,15,11,9
E01000070,Electric Engagement,ZEV Mandate,PHEV cars,Number,26,35,42,47,52,57,63,73,82,91,99,106,100,95,89,83,76,70,63,55,48,40,33,26,20,15,11,8
E01000071,Electric Engagement,ZEV Mandate,PHEV cars,Number,30,41,48,52,56,63,70,82,93,102,112,120,114,107,100,93,86,79,71,63,55,46,38,30,24,17,14,10
