LSOA21CD,Parameter,Scenario_world,Scenario,Unit,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000073,Domestic battery capacity,Hydrogen Evolution,Medium,kW,5.327,6.332,7.496,8.755,10.11,11.69,13.427,15.502,17.025,19.443,20.895,23.346,26.14,26.562,29.664,32.386,36.794,41.239,46.411,51.798,57.668,63.577,69.519,76.846,82.262,87.566,94.242,99.28
E01000074,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.263,0.877,1.592,2.379,3.319,4.009,5.105,5.763,6.873,8.138,8.33,9.735,10.968,12.965,14.979,17.321,19.762,22.421,25.098,27.79,31.109,33.563,35.965,38.99,41.272
E01000075,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.513,1.712,3.11,4.647,6.483,7.83,9.97,11.254,13.423,15.894,16.268,19.012,21.421,25.321,29.253,33.829,38.595,43.789,49.016,54.274,60.756,65.548,70.24,76.147,80.604
E01000076,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.367,1.224,2.223,3.322,4.634,5.597,7.127,8.045,9.595,11.362,11.629,13.591,15.313,18.1,20.912,24.183,27.59,31.302,35.039,38.798,43.431,46.857,50.211,54.433,57.62
E01000077,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.184,0.614,1.116,1.668,2.326,2.81,3.578,4.039,4.817,5.704,5.838,6.823,7.687,9.087,10.498,12.14,13.851,15.715,17.591,19.478,21.804,23.524,25.208,27.327,28.927
E01000078,Domestic battery capacity,Hydrogen Evolution,Medium,kW,2.635,3.578,4.66,6.637,9.747,13.299,17.288,21.789,25.785,30.811,34.401,39.459,44.464,46.406,51.559,56.271,62.54,68.709,76.912,84.946,94.088,102.504,111.05,121.593,127.95,134.429,142.16,147.944
E01000079,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,2.277,7.502,13.469,20.172,27.733,34.446,42.89,48.921,57.419,65.828,69.09,77.748,85.664,96.196,106.56,120.343,133.839,149.199,163.338,177.696,195.409,206.088,216.973,229.961,239.679
E01000080,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.516,1.72,3.125,4.67,6.514,7.868,10.018,11.309,13.488,15.972,16.347,19.104,21.525,25.444,29.395,33.993,38.783,44.001,49.254,54.538,61.051,65.867,70.582,76.517,80.996
E01000081,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.644,2.123,3.811,5.708,7.848,9.747,12.137,13.843,16.248,18.628,19.551,22.001,24.241,27.221,30.154,34.054,37.873,42.219,46.22,50.283,55.295,58.317,61.398,65.073,67.823
E01000082,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.627,5.36,9.623,14.412,19.815,24.611,30.644,34.953,41.025,47.033,49.363,55.55,61.205,68.73,76.135,85.982,95.625,106.599,116.702,126.96,139.615,147.246,155.023,164.302,171.246
E01000083,Domestic battery capacity,Hydrogen Evolution,Medium,kW,2.635,3.578,4.66,6.875,10.532,14.708,19.399,24.692,29.39,35.3,39.521,45.469,51.354,53.637,59.697,65.237,72.608,79.863,89.509,98.954,109.705,119.601,129.65,142.047,149.521,157.14,166.23,173.031
E01000084,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.856,2.821,5.066,7.586,10.43,12.955,16.131,18.399,21.595,24.758,25.984,29.241,32.218,36.179,40.077,45.26,50.336,56.113,61.431,66.831,73.492,77.509,81.602,86.487,90.142
E01000085,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.668,2.2,3.95,5.915,8.132,10.101,12.577,14.346,16.837,19.303,20.26,22.799,25.12,28.208,31.248,35.289,39.247,43.751,47.897,52.107,57.301,60.433,63.625,67.433,70.283
E01000086,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.94,3.095,5.557,8.323,11.442,14.212,17.696,20.184,23.69,27.16,28.506,32.078,35.344,39.689,43.966,49.652,55.22,61.557,67.391,73.315,80.623,85.029,89.52,94.879,98.889
E01000087,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.401,4.614,8.284,12.407,17.057,21.186,26.38,30.089,35.316,40.488,42.494,47.82,52.688,59.166,65.541,74.018,82.319,91.766,100.462,109.293,120.188,126.756,133.451,141.439,147.416
E01000088,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.808,2.662,4.78,7.159,9.843,12.225,15.222,17.363,20.378,23.363,24.521,27.594,30.403,34.141,37.819,42.711,47.5,52.952,57.97,63.066,69.352,73.142,77.006,81.615,85.064
E01000089,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.085,3.576,6.42,9.615,13.219,16.419,20.444,23.319,27.369,31.378,32.932,37.06,40.833,45.853,50.793,57.363,63.796,71.117,77.857,84.701,93.144,98.234,103.423,109.613,114.246
E01000090,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.723,5.675,10.189,15.259,20.979,26.058,32.445,37.007,43.436,49.797,52.264,58.814,64.802,72.769,80.61,91.036,101.245,112.864,123.56,134.422,147.821,155.9,164.134,173.959,181.31
E01000091,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.248,0.829,1.505,2.249,3.138,3.79,4.826,5.447,6.497,7.693,7.874,9.202,10.368,12.256,14.159,16.374,18.681,21.194,23.725,26.269,29.407,31.726,33.997,36.856,39.013
E01000093,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.167,0.556,1.009,1.508,2.104,2.541,3.236,3.653,4.357,5.159,5.281,6.171,6.953,8.219,9.495,10.981,12.528,14.213,15.91,17.617,19.721,21.276,22.799,24.716,26.163
E01000094,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.213,0.71,1.29,1.928,2.689,3.248,4.136,4.669,5.568,6.594,6.749,7.887,8.886,10.504,12.135,14.034,16.011,18.165,20.334,22.515,25.204,27.192,29.138,31.589,33.438
E01000095,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.225,0.75,1.362,2.035,2.839,3.429,4.366,4.929,5.879,6.961,7.125,8.326,9.381,11.089,12.811,14.815,16.903,19.177,21.467,23.769,26.608,28.707,30.762,33.348,35.3
E01000096,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.278,0.927,1.684,2.517,3.511,4.241,5.4,6.095,7.27,8.608,8.811,10.297,11.602,13.714,15.844,18.322,20.903,23.716,26.547,29.395,32.906,35.501,38.043,41.242,43.656
E01000097,Domestic battery capacity,Hydrogen Evolution,Medium,kW,2.635,3.578,4.66,6.676,9.876,13.531,17.636,22.267,26.379,31.551,35.245,40.45,45.6,47.598,52.901,57.749,64.2,70.548,78.989,87.256,96.663,105.323,114.117,124.966,131.507,138.174,146.129,152.081
E01000098,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.614,2.022,3.631,5.438,7.476,9.286,11.562,13.188,15.479,17.745,18.625,20.959,23.093,25.932,28.726,32.441,36.079,40.22,44.031,47.902,52.677,55.556,58.49,61.991,64.611
E01000099,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.914,6.304,11.318,16.95,23.304,28.945,36.04,41.109,48.249,55.315,58.056,65.332,71.984,80.834,89.543,101.124,112.465,125.372,137.253,149.318,164.202,173.176,182.323,193.236,201.403
E01000100,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.905,6.275,11.267,16.874,23.199,28.815,35.879,40.924,48.033,55.067,57.796,65.039,71.661,80.471,89.141,100.671,111.961,124.809,136.638,148.649,163.466,172.399,181.505,192.37,200.499
E01000101,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.789,2.6,4.668,6.99,9.611,11.937,14.863,16.953,19.898,22.812,23.943,26.943,29.686,33.336,36.928,41.704,46.381,51.704,56.604,61.579,67.718,71.418,75.191,79.691,83.059
E01000102,Domestic battery capacity,Hydrogen Evolution,Medium,kW,4.392,5.963,7.767,10.971,15.945,21.627,28.008,35.208,41.6,49.639,55.382,63.472,71.479,74.585,82.828,90.365,100.393,110.261,123.383,136.233,150.858,164.32,177.991,194.855,205.023,215.387,227.753,237.006
E01000103,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,1.2,3.954,7.098,10.631,14.616,18.154,22.604,25.783,30.261,34.693,36.412,40.975,45.147,50.698,56.16,63.424,70.537,78.632,86.084,93.651,102.986,108.614,114.351,121.196,126.317
E01000104,Domestic battery capacity,Hydrogen Evolution,Medium,kW,0,0,0,0.655,2.159,3.877,5.806,7.982,9.914,12.344,14.08,16.526,18.947,19.885,22.377,24.656,27.687,30.67,34.637,38.521,42.942,47.012,51.144,56.242,59.316,62.449,66.187,68.984
