LSOA21CD,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000054,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,4,4,4,5,5,5,6,6
E01000055,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3
E01000056,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,5,5,6,7,7,8,9,9,10,10,10
E01000057,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,5
E01000058,0,0,0,0,0,0,0,0,0,0,0,2,4,6,8,10,12,14,16,17,19,21,23,25,27,29,29
E01000059,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8
E01000060,0,1,1,1,1,2,2,2,2,2,2,3,4,5,6,7,7,8,9,10,11,12,12,13,14,15,15
E01000061,0,1,2,2,3,3,4,4,5,5,5,6,7,8,8,9,10,11,12,12,13,14,15,16,17,17,18
E01000062,0,0,0,1,1,1,1,1,1,1,1,2,2,3,4,4,5,5,6,6,7,8,8,9,9,10,10
E01000063,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5
E01000064,0,0,0,0,1,1,1,1,1,1,1,2,3,3,4,5,6,6,7,8,9,9,10,11,12,12,12
E01000065,0,0,1,1,1,1,1,1,1,1,1,3,5,6,8,9,11,13,14,16,17,19,21,22,24,25,25
E01000066,0,0,0,1,1,1,1,1,1,1,1,2,4,5,6,7,8,9,10,11,13,14,15,16,17,18,18
E01000067,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,5,6,7,8,9,10,10,11,12,13,13
E01000068,0,0,0,1,1,1,1,1,1,1,1,3,5,7,9,11,12,14,16,18,20,21,23,25,27,28,28
E01000070,0,0,0,0,0,1,1,1,1,1,1,3,5,7,8,10,12,14,16,18,19,21,23,25,27,28,28
