LSOA21CD,Scenario,Parameter,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000159,ICE Ban,PHEV cars,Number,17,26,31,35,38,43,48,54,62,71,78,85,91,86,81,76,70,64,58,52,45,38,32,24,20,15,11,7,5
E01000160,ICE Ban,PHEV cars,Number,16,24,29,32,36,40,45,50,58,66,73,79,85,80,76,70,65,60,54,48,42,36,30,24,18,14,10,7,5
E01000161,ICE Ban,PHEV cars,Number,14,21,25,29,32,36,40,44,51,58,65,70,75,71,67,62,58,53,48,43,37,32,26,21,16,12,9,6,4
E01000162,ICE Ban,PHEV cars,Number,13,20,24,27,29,33,37,41,48,54,60,65,70,66,62,58,54,49,45,40,35,29,24,20,15,11,8,6,4
E01000163,ICE Ban,PHEV cars,Number,12,18,22,24,26,29,32,35,40,45,49,53,57,54,50,47,43,40,36,32,28,24,20,16,12,9,7,5,3
E01000164,ICE Ban,PHEV cars,Number,15,23,26,29,32,35,39,43,49,55,60,65,69,65,61,57,53,49,44,39,35,29,24,20,15,11,8,6,4
E01000165,ICE Ban,PHEV cars,Number,17,25,29,32,35,39,43,47,54,60,66,72,77,72,68,63,59,54,49,44,38,32,27,22,17,13,9,6,4
E01000166,ICE Ban,PHEV cars,Number,14,22,26,30,34,39,44,49,57,65,73,80,86,81,76,71,66,60,55,49,43,36,30,24,19,14,10,7,5
E01000167,ICE Ban,PHEV cars,Number,10,15,18,21,23,27,31,34,41,47,52,57,62,58,55,51,47,43,39,35,31,26,22,17,13,10,7,5,3
E01000168,ICE Ban,PHEV cars,Number,15,22,27,31,34,39,44,49,58,66,74,80,87,82,77,72,66,61,55,49,43,37,30,24,19,14,10,7,5
E01000169,ICE Ban,PHEV cars,Number,13,19,23,26,30,34,38,43,50,57,64,70,75,71,67,62,58,53,48,43,38,32,26,21,16,12,9,6,4
E01000170,ICE Ban,PHEV cars,Number,12,19,23,26,30,34,39,44,51,59,66,73,78,74,69,65,60,55,50,45,39,33,28,22,17,13,9,7,4
