LSOA21CD,Scenario,Parameter,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000099,Reduced Demand,PHEV cars,Number,23,33,40,47,53,61,69,78,92,106,118,129,139,132,123,115,104,95,86,77,67,57,47,38,29,22,16,11,7
E01000100,Reduced Demand,PHEV cars,Number,11,16,19,22,24,27,30,34,39,44,49,53,57,53,50,47,43,40,36,32,28,24,20,16,13,10,7,5,3
E01000101,Reduced Demand,PHEV cars,Number,13,18,21,24,26,30,33,37,43,48,52,58,62,59,55,51,47,44,39,35,31,26,22,18,14,10,8,5,4
E01000102,Reduced Demand,PHEV cars,Number,17,24,28,31,34,37,41,44,51,57,62,67,71,67,63,59,54,50,45,40,35,30,25,20,16,12,9,6,4
E01000103,Reduced Demand,PHEV cars,Number,11,16,19,22,25,29,32,36,43,49,54,59,64,60,57,53,49,45,40,36,32,27,23,18,14,11,8,5,4
E01000104,Reduced Demand,PHEV cars,Number,10,14,17,19,22,25,28,31,37,42,47,52,55,52,49,46,42,39,35,31,28,24,20,16,12,9,7,5,3
E01000105,Reduced Demand,PHEV cars,Number,12,17,21,24,27,31,35,39,46,53,58,64,69,65,61,57,52,48,44,39,34,29,24,20,15,11,8,6,4
E01000106,Reduced Demand,PHEV cars,Number,10,15,18,21,23,27,31,34,40,46,51,56,60,57,53,50,46,42,38,34,30,26,21,17,13,10,7,5,3
E01000107,Reduced Demand,PHEV cars,Number,14,19,23,26,28,32,35,39,44,50,55,60,64,60,56,52,49,44,40,36,32,27,22,18,14,11,8,5,4
E01000108,Reduced Demand,PHEV cars,Number,15,21,25,28,31,35,39,42,49,55,60,65,70,66,62,58,53,49,44,40,35,30,25,20,15,12,8,6,4
E01000110,Reduced Demand,PHEV cars,Number,14,19,23,26,29,33,37,41,47,53,59,64,68,64,60,56,52,48,43,39,34,29,24,19,15,11,8,6,4
E01000111,Reduced Demand,PHEV cars,Number,15,21,25,28,31,35,39,43,50,56,62,68,72,68,64,60,55,51,46,41,36,31,26,21,16,12,9,6,4
E01000112,Reduced Demand,PHEV cars,Number,14,19,23,26,29,33,37,41,47,53,59,64,68,65,61,56,52,48,43,39,34,29,24,21,15,11,8,6,4
E01000113,Reduced Demand,PHEV cars,Number,12,17,20,23,25,29,32,36,41,47,52,56,60,57,53,51,46,42,38,34,30,25,21,17,13,10,7,5,3
E01000114,Reduced Demand,PHEV cars,Number,16,23,27,31,34,38,43,47,55,62,68,74,79,75,70,66,61,56,50,45,40,34,28,23,18,13,10,7,5
E01000115,Reduced Demand,PHEV cars,Number,13,18,22,25,28,32,36,41,48,54,60,66,71,67,63,58,54,49,45,40,35,30,24,20,15,11,8,6,4
E01000116,Reduced Demand,PHEV cars,Number,14,19,24,27,30,35,39,44,52,59,66,72,77,73,68,64,59,54,49,44,38,32,27,21,17,12,9,6,4
E01000117,Reduced Demand,PHEV cars,Number,18,26,31,34,37,41,46,50,58,65,71,77,82,77,72,67,62,57,52,46,41,35,29,23,18,13,10,7,4
E01000118,Reduced Demand,PHEV cars,Number,24,34,40,44,48,54,60,65,75,84,91,100,107,101,95,88,81,75,68,60,53,45,37,30,23,17,13,9,6
E01000119,Reduced Demand,PHEV cars,Number,14,20,24,28,31,36,41,45,53,61,68,74,79,75,70,65,60,55,50,45,39,33,27,22,17,13,9,6,4
E01000120,Reduced Demand,PHEV cars,Number,12,17,21,24,27,31,35,39,46,53,58,64,68,65,61,57,52,48,43,39,34,29,24,19,15,11,8,6,4
E01000121,Reduced Demand,PHEV cars,Number,13,18,22,24,26,29,32,35,41,45,50,54,58,54,51,47,44,40,36,33,29,24,20,16,13,9,7,5,3
E01000122,Reduced Demand,PHEV cars,Number,11,16,20,23,25,29,33,37,43,49,54,59,64,60,56,53,49,45,40,36,31,27,22,18,14,10,7,5,3
E01000123,Reduced Demand,PHEV cars,Number,19,26,31,34,37,42,46,51,58,65,71,77,82,78,73,68,63,58,52,47,41,35,29,23,18,13,10,7,4
E01000124,Reduced Demand,PHEV cars,Number,13,18,22,24,26,29,32,35,41,46,50,54,58,55,51,48,44,40,37,33,29,24,20,16,13,9,7,5,3
E01000126,Reduced Demand,PHEV cars,Number,14,20,24,28,31,35,39,43,50,57,63,68,73,69,65,60,56,51,46,42,36,31,26,21,16,12,9,6,4
E01000127,Reduced Demand,PHEV cars,Number,10,14,17,19,21,24,27,30,35,39,43,47,50,48,45,42,38,35,32,29,25,21,18,14,11,8,6,4,3
E01000128,Reduced Demand,PHEV cars,Number,14,20,24,27,30,34,38,42,49,55,61,66,71,67,64,58,54,49,45,40,35,30,25,20,16,12,8,6,4
E01000129,Reduced Demand,PHEV cars,Number,13,18,21,24,27,30,34,37,43,49,54,58,63,59,55,52,48,44,40,35,31,27,22,18,14,10,7,5,3
E01000130,Reduced Demand,PHEV cars,Number,11,15,19,21,24,27,30,34,39,45,49,54,58,55,51,48,44,40,37,33,29,24,20,16,13,9,7,5,3
E01000131,Reduced Demand,PHEV cars,Number,14,20,24,27,29,33,37,41,47,54,59,64,69,65,61,57,53,48,44,39,34,29,24,20,15,11,8,6,4
E01000132,Reduced Demand,PHEV cars,Number,10,14,16,19,21,24,27,30,35,39,44,47,51,48,45,42,39,36,32,29,25,21,18,14,11,8,6,4,3
E01000133,Reduced Demand,PHEV cars,Number,11,15,18,21,23,26,30,33,38,44,48,53,57,53,50,47,43,40,36,32,28,24,20,16,12,9,7,5,3
E01000134,Reduced Demand,PHEV cars,Number,11,16,19,22,24,27,31,34,39,44,49,53,57,54,50,47,43,40,36,32,28,24,20,16,13,9,7,5,3
E01000135,Reduced Demand,PHEV cars,Number,30,43,48,51,54,58,62,66,73,79,85,90,93,87,81,75,69,63,57,51,45,39,32,26,20,15,11,8,5
E01000136,Reduced Demand,PHEV cars,Number,29,40,46,49,52,56,60,64,71,77,83,88,90,84,78,73,67,61,56,50,44,37,31,25,19,16,10,7,5
E01000137,Reduced Demand,PHEV cars,Number,17,24,28,30,32,35,38,41,45,50,54,58,61,58,54,49,45,41,37,33,29,25,20,17,13,10,7,5,3
E01000138,Reduced Demand,PHEV cars,Number,20,27,31,34,36,39,42,46,51,56,61,65,68,65,61,56,52,47,42,37,32,28,23,18,14,11,8,5,4
E01000139,Reduced Demand,PHEV cars,Number,19,26,30,32,34,37,40,43,48,53,58,62,65,62,57,52,48,44,39,35,31,27,22,18,14,10,7,5,3
E01000140,Reduced Demand,PHEV cars,Number,17,23,27,29,31,34,36,39,44,48,52,56,59,56,52,47,43,39,36,32,28,24,20,16,12,9,7,5,3
E01000141,Reduced Demand,PHEV cars,Number,50,68,76,77,79,81,83,86,90,93,95,96,98,96,88,80,73,66,60,53,47,40,33,27,21,16,12,8,5
E01000142,Reduced Demand,PHEV cars,Number,21,29,34,37,39,42,46,49,55,61,66,70,74,70,66,61,56,51,45,40,35,30,25,20,16,12,8,6,4
E01000143,Reduced Demand,PHEV cars,Number,14,20,23,25,27,29,31,34,38,41,45,48,51,48,45,40,37,34,31,27,24,21,17,14,11,8,6,4,3
E01000144,Reduced Demand,PHEV cars,Number,20,30,34,36,38,41,44,47,52,56,60,64,66,62,57,53,49,45,41,36,32,27,23,18,14,11,8,5,4
E01000145,Reduced Demand,PHEV cars,Number,10,14,17,20,22,25,28,31,36,41,45,49,52,49,46,43,40,37,33,30,26,22,18,15,11,8,6,4,3
E01000146,Reduced Demand,PHEV cars,Number,20,28,32,34,36,39,41,44,49,53,57,61,62,58,54,50,46,42,38,34,30,26,21,17,13,10,7,5,3
E01000147,Reduced Demand,PHEV cars,Number,15,21,25,28,31,35,39,44,51,57,63,69,74,70,65,61,56,52,47,42,36,31,25,20,16,12,9,6,4
E01000150,Reduced Demand,PHEV cars,Number,36,51,60,66,71,79,86,94,107,120,131,141,150,142,133,124,112,101,92,82,72,62,50,41,32,24,17,12,8
E01000151,Reduced Demand,PHEV cars,Number,8,11,13,15,16,19,21,23,27,30,34,37,39,37,35,32,30,27,25,22,19,17,14,11,9,6,5,3,2
E01000152,Reduced Demand,PHEV cars,Number,16,22,27,31,34,39,43,48,56,63,70,76,81,77,72,67,62,57,52,46,40,35,29,23,18,13,10,7,4
E01000153,Reduced Demand,PHEV cars,Number,12,17,20,23,25,29,32,36,41,47,52,56,61,57,54,50,46,42,38,34,30,26,21,17,13,10,7,5,3
E01000154,Reduced Demand,PHEV cars,Number,9,13,16,18,20,22,25,28,32,37,40,44,47,44,42,39,36,33,30,27,23,20,17,13,10,8,6,4,3
E01000156,Reduced Demand,PHEV cars,Number,14,19,23,25,27,31,34,37,42,47,52,56,59,56,53,49,45,42,38,34,29,25,21,17,13,10,7,5,3
E01000157,Reduced Demand,PHEV cars,Number,12,17,22,23,25,27,30,33,38,42,46,50,53,50,47,44,41,37,34,30,26,22,18,15,13,9,6,4,3
E01000158,Reduced Demand,PHEV cars,Number,11,16,19,22,24,27,30,34,39,44,49,53,57,54,50,47,43,40,36,32,28,24,19,16,12,9,7,5,3
E01000159,Reduced Demand,PHEV cars,Number,17,24,29,33,36,41,46,51,59,67,73,80,85,81,76,71,65,60,54,48,42,35,29,24,18,14,10,7,5
E01000160,Reduced Demand,PHEV cars,Number,16,23,27,31,34,38,43,47,55,62,68,74,80,75,71,66,61,56,50,45,39,33,27,22,17,13,9,6,4
E01000161,Reduced Demand,PHEV cars,Number,14,20,24,27,30,34,38,42,49,55,61,66,71,67,63,58,54,49,45,40,35,29,24,19,15,11,8,6,4
E01000162,Reduced Demand,PHEV cars,Number,13,19,22,25,28,31,35,39,45,51,56,61,65,62,58,54,50,46,41,37,32,27,22,18,14,10,8,5,3
E01000163,Reduced Demand,PHEV cars,Number,12,17,20,23,25,27,30,33,38,42,46,50,53,50,47,44,40,37,34,30,26,22,18,15,11,9,6,4,3
E01000164,Reduced Demand,PHEV cars,Number,15,21,25,28,30,33,37,40,46,51,56,61,65,61,57,54,49,45,41,37,32,27,22,18,14,10,8,5,4
E01000165,Reduced Demand,PHEV cars,Number,17,23,28,31,33,37,41,44,51,57,62,67,72,68,63,59,55,50,45,41,35,30,25,20,15,12,8,6,4
E01000166,Reduced Demand,PHEV cars,Number,14,20,25,29,32,35,41,46,54,62,68,75,80,76,71,66,61,56,51,45,40,34,28,22,17,13,9,6,4
E01000167,Reduced Demand,PHEV cars,Number,10,14,17,20,22,26,29,33,38,44,49,54,58,54,51,48,44,40,37,33,28,24,20,16,12,9,7,5,3
E01000168,Reduced Demand,PHEV cars,Number,15,21,25,29,32,37,42,47,55,62,69,75,81,76,72,67,62,57,51,46,40,34,28,23,17,13,9,7,4
E01000169,Reduced Demand,PHEV cars,Number,13,18,22,25,28,32,36,40,47,54,60,65,70,66,62,58,54,49,45,40,35,29,24,20,15,11,8,6,4
E01000170,Reduced Demand,PHEV cars,Number,12,17,21,25,28,32,37,41,49,56,62,68,73,69,65,60,56,51,46,41,36,31,26,21,16,12,9,6,4
E01000171,Reduced Demand,PHEV cars,Number,13,19,23,27,30,35,40,45,53,61,67,74,79,75,70,66,61,56,50,45,39,34,28,22,17,13,9,7,4
E01000172,Reduced Demand,PHEV cars,Number,14,20,25,28,32,36,41,46,54,61,68,74,80,75,70,66,61,56,50,45,39,33,28,22,17,13,9,6,4
E01000173,Reduced Demand,PHEV cars,Number,13,19,23,27,30,35,39,44,52,60,66,73,78,74,69,64,60,55,50,44,39,33,28,22,17,13,9,6,4
E01000174,Reduced Demand,PHEV cars,Number,11,16,19,22,25,29,33,37,44,50,56,61,66,62,58,54,50,46,42,37,33,28,23,19,14,11,8,5,4
E01000175,Reduced Demand,PHEV cars,Number,13,18,22,26,29,34,38,43,51,58,65,71,77,72,68,63,58,54,49,43,38,32,27,22,17,13,9,6,4
E01000176,Reduced Demand,PHEV cars,Number,11,16,19,21,23,26,29,33,38,43,47,51,54,51,48,45,42,38,35,31,27,23,19,15,12,9,6,4,3
