LSOA11CD,Parameter,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000014,Non-domestic heat pump,Number,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,5,5,5,6,6,7,7,8,8,8,8
E01000015,Non-domestic heat pump,Number,0,0,1,1,2,2,2,2,2,2,2,2,2,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,18
E01000016,Non-domestic heat pump,Number,0,0,1,2,3,3,3,3,3,3,3,3,4,4,5,7,8,10,12,13,14,16,17,19,20,22,23,24,26,26
E01000017,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
E01000018,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
E01000019,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01000020,Non-domestic heat pump,Number,0,0,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8
E01000021,Non-domestic heat pump,Number,0,0,1,2,3,3,5,6,7,8,9,11,12,13,16,19,22,24,26,28,31,32,34,35,37,39,40,42,43,43
E01000022,Non-domestic heat pump,Number,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5
E01000023,Non-domestic heat pump,Number,0,0,2,3,5,5,5,5,6,6,6,6,7,7,8,8,9,10,11,11,12,12,13,14,14,15,15,16,16,16
E01000024,Non-domestic heat pump,Number,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4
E01000025,Non-domestic heat pump,Number,0,0,0,1,1,1,2,2,2,3,3,4,4,4,5,6,7,8,8,9,10,10,11,11,12,12,13,13,14,14
E01000027,Non-domestic heat pump,Number,0,0,1,1,2,2,2,2,2,2,3,3,3,3,5,7,9,11,12,14,16,18,19,21,23,25,26,28,30,30
E01000028,Non-domestic heat pump,Number,0,0,1,2,2,2,3,3,3,3,3,4,4,4,5,6,8,9,10,11,12,13,14,15,16,18,19,20,21,21
E01000029,Non-domestic heat pump,Number,0,0,1,1,2,2,2,2,2,3,3,3,3,3,5,6,7,8,10,11,12,13,14,16,17,18,19,20,21,21
E01000030,Non-domestic heat pump,Number,0,0,1,3,4,4,4,4,5,5,5,6,6,7,9,11,13,15,17,18,20,22,24,26,27,29,31,33,34,35
E01000031,Non-domestic heat pump,Number,0,0,1,1,2,2,2,2,2,3,3,3,4,4,5,7,8,9,10,12,13,14,15,16,17,19,20,21,22,22
E01000032,Non-domestic heat pump,Number,0,0,1,1,2,2,3,3,3,4,4,5,5,6,9,13,16,20,23,26,29,32,35,38,41,44,47,50,53,53
E01000033,Non-domestic heat pump,Number,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,18
E01000034,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,5,5,6,7,7,8,9,9,10,11,11,11
E01000035,Non-domestic heat pump,Number,0,0,2,4,5,6,7,8,9,10,11,12,13,15,20,25,30,34,39,43,48,52,56,60,64,68,72,75,79,80
E01000036,Non-domestic heat pump,Number,0,0,1,1,2,2,2,3,3,4,4,4,5,5,7,8,10,11,13,14,16,17,18,19,21,22,23,24,26,26
E01000037,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3
E01000038,Non-domestic heat pump,Number,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3,4,5,6,7,8,8,9,10,11,12,13,14,14,14
E01000039,Non-domestic heat pump,Number,0,0,0,0,0,1,1,1,1,1,1,2,2,2,4,5,7,8,10,11,12,14,15,16,18,19,20,21,23,23
E01000040,Non-domestic heat pump,Number,0,0,0,1,1,1,2,2,2,2,3,3,4,4,7,10,13,16,19,22,25,27,30,33,36,38,41,44,46,46
E01000041,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
E01000042,Non-domestic heat pump,Number,0,0,0,0,1,1,1,1,1,1,2,2,2,2,4,6,8,10,12,13,15,17,18,20,21,23,25,26,28,28
E01000043,Non-domestic heat pump,Number,0,0,1,2,3,3,3,4,4,4,5,5,6,6,7,7,8,8,8,9,9,9,9,10,10,10,10,11,11,11
E01000044,Non-domestic heat pump,Number,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,5,5,5
E01000045,Non-domestic heat pump,Number,0,0,1,1,2,2,2,3,3,4,4,5,6,6,11,15,20,25,29,33,37,42,46,50,54,58,61,65,69,69
E01000046,Non-domestic heat pump,Number,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,4,5,6,7,7,8,9,10,11,11,12,13,14,14
E01000048,Non-domestic heat pump,Number,0,0,1,2,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,6,7,7,7,8,8,8,9,9,10,10
E01000049,Non-domestic heat pump,Number,0,0,1,3,4,4,4,5,5,5,5,5,6,6,7,9,10,12,13,14,16,17,18,20,21,22,24,25,26,26
E01000050,Non-domestic heat pump,Number,0,0,1,1,2,2,3,3,3,4,4,5,5,6,9,12,15,18,21,23,26,29,32,34,37,40,42,45,47,48
E01000051,Non-domestic heat pump,Number,0,0,1,3,4,4,4,4,4,5,5,5,5,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,21
