LSOA11CD,Parameter,Unit,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000038,Domestic battery capacity,kW,0,0,0.1,0.3,0.6,1.6,3,4.5,6,7.6,9.1,10.6,11.9,13.2,14.4,14.9,16,17,18.1,19.2,20.6,22.1,23.9,25.5,27.2,29,30.6,32.3,33.8,35
E01000039,Domestic battery capacity,kW,0,0,0.1,0.2,0.6,3.3,7,11,15,19.1,23.2,27.2,30.7,34.2,37.3,38.2,41.1,43.7,46.7,49.7,53.4,57.3,62,66.3,70.8,75.8,79.9,84.4,88.4,91.5
E01000040,Domestic battery capacity,kW,0,0,0,0.2,0.4,1,1.8,2.7,3.6,4.5,5.4,6.3,7.1,8,8.8,9.2,10,10.7,11.7,12.7,13.7,14.7,15.9,17,18.2,19.5,20.6,21.8,22.9,23.8
E01000041,Domestic battery capacity,kW,0,0,0.1,0.3,0.8,1.5,2.4,3.4,4.4,5.4,6.4,7.4,8.3,9.3,10.2,10.8,11.7,12.5,13.6,14.7,15.8,17,18.3,19.6,20.9,22.3,23.5,24.9,26.1,27.1
E01000042,Domestic battery capacity,kW,0,0,0,0.2,0.4,0.9,1.4,2,2.6,3.3,3.9,4.5,5.1,5.7,6.3,6.6,7.2,7.7,8.4,9,9.7,10.5,11.3,12.1,12.9,13.8,14.5,15.4,16.2,16.8
E01000043,Domestic battery capacity,kW,0,0,0.1,0.3,0.8,1.5,2.5,3.5,4.6,5.7,6.8,7.9,8.8,9.8,10.8,11.4,12.4,13.2,14.4,15.6,16.8,18,19.5,20.8,22.3,23.8,25.1,26.6,27.9,28.9
E01000044,Domestic battery capacity,kW,0,0,0.1,0.2,0.6,0.9,1.2,1.6,2,2.5,2.9,3.3,3.7,4.1,4.4,4.8,5.2,5.5,6,6.4,6.9,7.4,7.9,8.4,9,9.6,10,10.6,11.1,11.5
E01000045,Domestic battery capacity,kW,0,0,0.1,0.3,0.7,0.8,1,1.1,1.3,1.5,1.7,1.9,2.1,2.2,2.4,2.8,2.9,3.1,3.3,3.5,3.7,3.9,4.2,4.4,4.7,4.9,5.2,5.4,5.6,5.8
E01000046,Domestic battery capacity,kW,0,0,0.1,0.4,0.9,1.8,3,4.3,5.6,6.9,8.2,9.6,10.7,12,13.2,13.9,15.1,16.2,17.6,19.1,20.5,22.1,23.9,25.5,27.3,29.2,30.7,32.6,34.2,35.5
E01000048,Domestic battery capacity,kW,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9
